OCC,SOC
0050,11-2020
0100,11-3011
0330,11-9071
0430,11-9199
0740,13-1199 
0840,13-2051
0950,13-2099
1107,15-1199
1020,15-113X
1060,15-1141
1030,15-1134
1300,17-1010
1540,17-3010
1550,17-3020
1740,19-2040
1820,19-3030
1930,19-4041
1965,19-4090
2000,21-1010
2010,21-1020
2160,23-2090
2200,25-1000
2340,25-3000
2430,25-4021
2540,25-9041
2550,25-90XX
2630,27-1020
2720,27-2020
2750,27-2040
2760,27-2099
2800,27-3010
2860,27-3090
2900,27-4010
2960,27-4099
3060,29-1060
3260,29-1199
3320,29-2030
3400,29-2041
3420,29-2050
3510,29-2071
3535,29-2090
3540,29-9000
3600,31-1010
3730,33-1099
3800,33-3010
3850,33-3051
3860,33-3052
3955,33-909X
4050,35-3021
4060,35-3022
4250,37-3010
4300,39-1010
4320,39-1021
4410,39-3021
4430,39-3090
4460,39-40XX
4520,39-5090
4610,39-9021
4620,39-9030
4650,39-9099
5030,43-2099
5520,43-5030
5620,43-5081
5700,43-6010
5800,43-9011
6100,45-3011
6110,45-3021
6300,47-2071
6310,47-2072
6320,47-2073
6420,47-2141
6430,47-2142
6440,47-2150
6820,47-5021
6830,47-5031
6840,47-5040
6910,47-5061
6930,47-5081
6940,47-50XX
7600,49-9097
7630,49-909X
7900,51-4010
7920,51-4021
7930,51-4022
7940,51-4023
7960,51-4032
8010,51-4034
8020,51-4035
8120,51-4081
8150,51-4191
8160,51-4192
8200,51-4193
8210,51-4194
8220,51-4199
8330,51-6041
8340,51-6042
8360,51-6061
8400,51-6062
8410,51-6063
8420,51-6064
8430,51-6091
8440,51-6092
8460,51-6099
8520,51-7030
8550,51-7099
8860,51-9192
8900,51-9193
8840,51-9141
8965,51-9199
9000,53-1000
9120,53-3020
9140,53-3041
9200,53-4010
9230,53-4021
9260,53-40XX
9360,53-6031
9340,53-6011
9420,53-60XX
9500,53-7011
9520,53-7030
9560,53-7041
9740,53-7121
9750,53-7199
9730,53-7111
9820,55-3010
0010,11-1011
0020,11-1021
0030,11-1031
0040,11-2011
0051,11-2021
0052,11-2022
0060,11-2030
0101,11-3012
0102,11-3013
0110,11-3021
0120,11-3031
0135,11-3111
0136,11-3121
0137,11-3131
0140,11-3051
0150,11-3061
0160,11-3071
0205,11-9013
0220,11-9021
0230,11-9030
0300,11-9041
0310,11-9051
0325,11-9171
0335,11-9070
0340,11-9081
0350,11-9111
0360,11-9121
0400,11-9131
0410,11-9141
0420,11-9151
0425,11-9161
0426,11-9179
0440,11-9199
0500,13-1011
0510,13-1021
0520,13-1022
0530,13-1023
0540,13-1030
0565,13-1041
0600,13-1051
0630,13-1070
0700,13-1081
0705,13-1082
0710,13-1111
0725,13-1121
0726,13-1131
0640,13-1141
0650,13-1151
0735,13-1161
0750,13-1199
0800,13-2011
0810,13-2020
0820,13-2031
0830,13-2041
0845,13-2051
0850,13-2052
0860,13-2053
0900,13-2061
0910,13-2070
0930,13-2081
0940,13-2082
0960,13-20XX
1005,15-1221
1006,15-1211
1108,15-1299
1010,15-1251
1021,15-1252
1022,15-1253
1050,15-1230
1065,15-124X
1105,15-1244
1007,15-1212
1031,15-1254
1032,15-1255
1106,15-1241
1200,15-2011
1210,15-2021
1220,15-2031
1230,15-2041
1240,15-20XX
1305,17-1011
1306,17-1012
1310,17-1020
1320,17-2011
1330,17-2021
1340,17-2031
1350,17-2041
1360,17-2051
1400,17-2061
1410,17-2070
1420,17-2081
1430,17-2110
1440,17-2121
1450,17-2131
1460,17-2141
1500,17-2151
1510,17-2161
1520,17-2171
1530,17-2199
1541,17-3011
1545,17-301X
1551,17-3023
1555,17-302X
1560,17-3031
1600,19-1010
1610,19-1020
1640,19-1030
1650,19-1040
1660,19-1099
1700,19-2010
1710,19-2021
1720,19-2030
1745,19-2041
1750,19-204X
1760,19-2099
1800,19-3011
1815,19-3022
1821,19-3033
1822,19-3034
1825,19-303X
1830,19-3041
1840,19-3051
1860,19-3090
1900,19-4010
1910,19-4021
1920,19-4031
1935,19-4040
1940,19-4051
1950,19-4061
1970,19-40XX
2001,21-1011
2002,21-1012
2003,21-1013
2004,21-1014
2005,21-1015
2006,21-1019
2011,21-1021
2012,21-1022
2013,21-1023
2014,21-1029
2015,21-1092
2016,21-1093
2025,21-109X
2040,21-2011
2050,21-2021
2060,21-2099
2100,23-1011
2105,23-1012
2110,23-1020
2145,23-2011
2862,27-3092
2170,23-2093
2180,23-2099
2205,25-1000
2300,25-2010
2310,25-2020
2320,25-2030
2330,25-2050
2350,25-3041
2360,25-30XX
2400,25-4010
2435,25-4022
2440,25-4031
2545,25-9040
2555,25-90XX
2600,27-1010
2631,27-1021
2632,27-1022
2633,27-1023
2634,27-1024
2635,27-1025
2636,27-1026
2640,27-102X
2700,27-2011
2710,27-2012
2721,27-2021
2722,27-2022
2723,27-2023
2740,27-2030
2751,27-2041
2752,27-2042
2755,27-2091
2770,27-2099
2805,27-3011
2810,27-3023
2825,27-3031
2830,27-3041
2840,27-3042
2850,27-3043
2861,27-3091
2865,27-3099
2905,27-4010
2910,27-4021
2920,27-4030
2970,27-4099
3000,29-1011
3010,29-1020
3030,29-1031
3040,29-1041
3050,29-1051
3065,29-1214
3070,29-1224
3090,29-12XX
3100,29-1240
3110,29-1071
3120,29-1081
3150,29-1122
3160,29-1123
3200,29-1124
3210,29-1125
3220,29-1126
3230,29-1127
3235,29-1128
3245,29-1129
3250,29-1131
3255,29-1141
3256,29-1151
3257,29-1161
3258,29-1171
3140,29-1181
3261,29-1291
3270,29-1299
3300,29-2010
3310,29-1292
3321,29-2031
3322,29-2032
3323,29-2034
3324,29-2035
3330,29-203X
3401,29-2042
3402,29-2043
3421,29-2052
3422,29-2053
3423,29-2055
3424,29-2056
3430,29-205X
3500,29-2061
3515,29-2072
3520,29-2081
3545,29-2090
3550,29-9000
1980,19-5010
3601,31-1121
3603,31-1131
3605,31-113X
3610,31-2010
3620,31-2020
3630,31-9011
3640,31-9091
3645,31-9092
3646,31-9094
3647,31-9095
3648,31-9096
3649,31-9097
3655,31-909X
3700,33-1011
3710,33-1012
3720,33-1021
3725,33-1091
3735,33-1099
3740,33-2011
3750,33-2020
3801,33-3011
3802,33-3012
3820,33-3021
3830,33-3031
3840,33-3041
3870,33-3050
3900,33-9011
3910,33-9021
3930,33-9030
3940,33-9091
3945,33-9093
3946,33-9094
3960,33-909X
4000,35-1011
4010,35-1012
4020,35-2010
4030,35-2021
4040,35-3011
4055,35-3023
4110,35-3031
4120,35-3041
4130,35-9011
4140,35-9021
4150,35-9031
4160,35-9099
4200,37-1011
4210,37-1012
4220,37-201X
4230,37-2012
4240,37-2021
4251,37-3011
4252,37-3013
4255,37-301X
4330,39-1000
4340,39-2011
4350,39-2021
4400,39-3010
4420,39-3031
4435,39-30XX
4461,39-40XX
4465,39-4031
4500,39-5011
4510,39-5012
4521,39-5092
4522,39-5094
4525,39-509X
4530,39-6010
4540,39-7010
4600,39-9011
3602,31-1122
4621,39-9031
4622,39-9032
4640,39-9041
4655,39-9099
4700,41-1011
4710,41-1012
4720,41-2010
4740,41-2021
4750,41-2022
4760,41-2031
4800,41-3011
4810,41-3021
4820,41-3031
4830,41-3041
4840,41-3091
4850,41-4010
4900,41-9010
4920,41-9020
4930,41-9031
4940,41-9041
4950,41-9091
4965,41-9099
5000,43-1011
5010,43-2011
5020,43-2021
5040,43-2099
5100,43-3011
5110,43-3021
5120,43-3031
5130,43-3041
5140,43-3051
5150,43-3061
5160,43-3071
5165,43-3099
5200,43-4011
5210,43-4021
5220,43-4031
5230,43-4041
5240,43-4051
5250,43-4061
5260,43-4071
5300,43-4081
5310,43-4111
5320,43-4121
5330,43-4131
5340,43-4141
5350,43-4151
5360,43-4161
5400,43-4171
5410,43-4181
5420,43-4199
5500,43-5011
5510,43-5021
5521,43-5031
5522,43-5032
5530,43-5041
5540,43-5051
5550,43-5052
5560,43-5053
5600,43-5061
5610,43-5071
9645,53-7065
5630,43-5111
5710,43-6011
5720,43-6012
5730,43-6013
5740,43-6014
5810,43-9021
5820,43-9022
5830,43-9031
5840,43-9041
5850,43-9051
5860,43-9061
5900,43-9071
5910,43-9081
5920,43-9111
5940,43-9199
6005,45-1011
6010,45-2011
6020,45-2021
6040,45-2041
6050,45-2090
6115,45-3031
6120,45-4011
6130,45-4020
6200,47-1011
6210,47-2011
6220,47-2020
6230,47-2031
6240,47-2040
6250,47-2050
6260,47-2061
6305,47-2070
6330,47-2080
6355,47-2111
6360,47-2121
6400,47-2130
6410,47-2140
6441,47-2151
6442,47-2152
6460,47-2161
6500,47-2171
6515,47-2181
6520,47-2211
6530,47-2221
6540,47-2231
6600,47-3010
6660,47-4011
6700,47-4021
6710,47-4031
6720,47-4041
6730,47-4051
6740,47-4061
6750,47-4071
6765,47-4090
6800,47-5010
6825,47-5023
6835,47-5032
6850,47-5040
6920,47-5071
6950,47-50XX
7000,49-1011
7010,49-2011
7020,49-2020
7030,49-2091
7040,49-2092
7050,49-2093
7100,49-209X
7110,49-2096
7120,49-2097
7130,49-2098
7140,49-3011
7150,49-3021
7160,49-3022
7200,49-3023
7210,49-3031
7220,49-3040
7240,49-3050
7260,49-3090
7300,49-9010
7315,49-9021
7320,49-9031
7330,49-904X
7340,49-9071
7350,49-9043
7360,49-9044
7410,49-9051
7420,49-9052
7430,49-9060
7440,49-9081
7510,49-9091
7520,49-9092
7540,49-9094
7550,49-9095
7560,49-9096
7610,49-9098
7640,49-909X
7700,51-1011
7710,51-2011
7720,51-2020
7730,51-2031
7740,51-2041
7750,51-20XX
7800,51-3011
7810,51-3020
7830,51-3091
7840,51-3092
7850,51-3093
7855,51-3099
7905,51-9160
7925,51-4020
7950,51-4031
8000,51-4033
8025,51-403X
8030,51-4041
8040,51-4050
8060,51-4060
8100,51-4070
8130,51-4111
8140,51-4120
8225,51-4XXX
8250,51-5111
8255,51-5112
8256,51-5113
8300,51-6011
8310,51-6021
8320,51-6031
8335,51-6040
8350,51-6050
8365,51-6060
8450,51-6093
8465,51-609X
8500,51-7011
8510,51-7021
8530,51-7041
8540,51-7042
8555,51-70XX
8600,51-8010
8610,51-8021
8620,51-8031
8630,51-8090
8640,51-9010
8650,51-9020
8710,51-9030
8720,51-9041
8730,51-9051
8740,51-9061
8750,51-9071
8760,51-9080
8800,51-9111
8810,51-9120
8830,51-9151
8850,51-9191
8910,51-9194
8920,51-9195
8930,51-9196
8940,51-9197
8950,51-9198
8865,51-919X
8990,51-91XX
9005,53-1000
9030,53-2010
9040,53-2020
9050,53-2031
9110,53-3011
9121,53-3051
9122,53-3052
9130,53-3030
9141,53-3053
9142,53-3054
9150,53-3099
9210,53-4010
9240,53-4031
9265,53-40XX
9300,53-5011
9330,53-5031
9310,53-5020
9350,53-6021
9365,53-6030
9410,53-6051
9415,53-6061
9430,53-60XX
9510,53-7021
6821,47-5022
9570,53-70XX
9600,53-7051
9610,53-7061
9620,53-7062
9630,53-7063
9640,53-7064
9650,53-7070
9720,53-7081
9760,53-71XX
9800,55-1010
9810,55-2010
9825,55-3010
9830,none
9920,none
